"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000204764",47.380147184458,2.27902174594551,0.145800832054261,15.6310613172451,4.4729046074983e-55,1.25372431386379e-52
"ENSG00000198554",72.5059454439036,2.26509076769242,0.144919448246762,15.6299985619289,4.54813324729561e-55,1.26391456754333e-52
"ENSG00000105464",340.488440438195,3.91864196157145,0.250856647528647,15.621040941815,5.23440410895656e-55,1.44230012880181e-52
"ENSG00000170312",201.967161541473,2.84350213427305,0.18203898756716,15.6202919620391,5.29625589302722e-55,1.44707953030157e-52
"ENSG00000140525",251.963987553328,2.02669314478395,0.12977462179709,15.6170221628755,5.57491838243581e-55,1.51052413572098e-52
"ENSG00000135372",576.888601284654,1.71022283125635,0.109518622615461,15.6158175697776,5.68121787984314e-55,1.5266042821919e-52
"ENSG00000147536",60.5706967781325,2.66907556582418,0.170936306516423,15.6144450539402,5.80479807667068e-55,1.54702626774484e-52
"ENSG00000156697",261.997398190635,1.93035867431444,0.123692952823492,15.6060521658742,6.62091267652266e-55,1.7501817460525e-52
"ENSG00000128578",61.9888429054564,2.9879263492348,0.191637489898954,15.5915544020654,8.30869802514677e-55,2.17862102894857e-52
"ENSG00000167755",66.9919676292341,7.23290474128207,0.464002028580019,15.588088619821,8.77190819855655e-55,2.28167858534294e-52
"ENSG00000196305",928.408647601591,1.80849461345848,0.116078503073102,15.5799270802067,9.96683766374734e-55,2.57191872856414e-52
"ENSG00000138363",600.869534532774,1.45421711612814,0.0933723738414375,15.574383046078,1.08696734677853e-54,2.78280758371317e-52
"ENSG00000101115",58.9918325005526,3.75004192786678,0.240897553369255,15.5669573037075,1.22077805269687e-54,3.10096700042079e-52
"ENSG00000164379",553.54000014885,4.66582959405192,0.299824366318485,15.5618759453849,1.32167597990822e-54,3.33123820238262e-52
"ENSG00000146733",103.742630022372,1.89388752053137,0.121746603983191,15.5559782250095,1.44923930626164e-54,3.62465898490699e-52
"ENSG00000184949",28.8810898485145,2.55619773467124,0.164354060458668,15.5529941124519,1.51838221345844e-54,3.768601472396e-52
"ENSG00000165891",39.4066543271789,3.07845436625135,0.198203945626902,15.5317511793949,2.11523666255841e-54,5.21021248836545e-52
"ENSG00000111445",145.852302190905,1.28995414172637,0.0830642026866515,15.5296036078568,2.18727636300787e-54,5.34715065164194e-52
"ENSG00000101868",156.97884542633,1.94148165650495,0.125083125664451,15.5215313511847,2.48059678809969e-54,6.01896447524427e-52
"ENSG00000175792",335.680160841524,1.99337066464932,0.128433630029201,15.5206285471811,2.51574594465591e-54,6.05903434404017e-52
"ENSG00000128944",107.354263288027,2.01245302143981,0.129687809531792,15.5176730080129,2.63432165089448e-54,6.29796574685169e-52
"ENSG00000183763",83.1841126747022,1.95659823262142,0.126139919036428,15.5113325548939,2.90780947566501e-54,6.90105965633373e-52
"ENSG00000122966",235.800007213354,1.98112610137734,0.127771890891779,15.5051794847063,3.20021167518011e-54,7.51423547354902e-52
"ENSG00000115163",63.1843028163186,2.81396927065316,0.181488616422647,15.5049353844874,3.21239690848039e-54,7.51423547354902e-52
"ENSG00000241186",61.0896252413781,3.55442460715186,0.229311329336262,15.5004317381094,3.44568975103912e-54,8.00236832609185e-52
"ENSG00000106105",811.08009759915,1.53232366149699,0.0989433184280243,15.4868836606857,4.25417420093938e-54,9.80994467867681e-52
"ENSG00000042445",4172.87093454787,-2.11264619248306,0.136717213742662,-15.4526715008954,7.23802666935209e-54,1.65730421920644e-51
"ENSG00000111206",305.550511170808,2.69175950439137,0.174313737614843,15.4420388273641,8.53587576019141e-54,1.94080744382422e-51
"ENSG00000029153",106.014908835622,2.0505021350683,0.132930778167485,15.425337633131,1.10575362503127e-53,2.49669953918519e-51
"ENSG00000137807",154.493202977584,2.28773164610109,0.1483419817187,15.4220108130907,1.16422173349736e-53,2.61058658227126e-51
"ENSG00000117597",168.661717742797,1.46494222219116,0.0951196301846074,15.4010504387792,1.61032029664871e-53,3.58616124145452e-51
"ENSG00000113569",188.513006099149,1.58357271631524,0.102867551463347,15.3942880314351,1.78781457757143e-53,3.9543539574937e-51
"ENSG00000099810",174.267730535018,1.99875564761026,0.12988450008569,15.3887157150515,1.94861590882324e-53,4.28089849050532e-51
"ENSG00000186416",101.61193932784,1.72808642535989,0.112333860693232,15.3834864634364,2.11258893802483e-53,4.60998098865365e-51
"ENSG00000118193",59.8737447993735,2.74301260357781,0.178344862876101,15.3803847183612,2.21626866917267e-53,4.80398396729868e-51
"ENSG00000121957",311.742380002334,1.67992813591438,0.1093047927979,15.3692083660091,2.63367457619932e-53,5.67094670003607e-51
"ENSG00000132436",84.6393986672566,2.2081362375245,0.143690726588627,15.3672842357196,2.71305340885202e-53,5.80343542996149e-51
"ENSG00000125648",2303.90089737343,-1.99921268080208,0.130110843763504,-15.3654578125398,2.79060407958107e-53,5.92015529258782e-51
"ENSG00000125485",189.703598466921,1.67003513469614,0.108689827293389,15.3651466405239,2.8040349235976e-53,5.92015529258782e-51
"ENSG00000085999",85.1157335247282,2.54297242445741,0.165512664908453,15.3642165441778,2.8445648138124e-53,5.96697937782558e-51
"ENSG00000153044",66.0937555923813,2.24208500819319,0.145958983491746,15.361062091255,2.9864173001405e-53,6.21599216835137e-51
"ENSG00000134222",108.59878709827,2.21724073628512,0.144344700467992,15.360735303038,3.00150941265659e-53,6.21599216835137e-51
"ENSG00000147140",2683.76201524669,1.05083167279492,0.0684307651395309,15.3561292300659,3.22249135790383e-53,6.63139772220793e-51
"ENSG00000108788",1133.85088110117,-1.20568724178579,0.0785472302097064,-15.3498377799807,3.55073166393783e-53,7.26091127806758e-51
"ENSG00000089685",304.240309811483,2.63336081186877,0.171639925182134,15.3423558596545,3.98467378745164e-53,8.08826966689707e-51
"ENSG00000182168",81.2610013587028,-2.46934646048628,0.160953105535391,-15.342024326106,4.0050790932227e-53,8.08826966689707e-51
"ENSG00000103257",835.434315237747,2.86040050080115,0.186588673285995,15.3299793091773,4.82140122910124e-53,9.67673083722209e-51
"ENSG00000157766",29.637989476355,4.38331321829335,0.2862511649901,15.3128222847405,6.27795763037575e-53,1.25227922941127e-50
"ENSG00000159720",2268.70071230752,-1.52305744923256,0.0995939804314946,-15.2926657076448,8.55744632540117e-53,1.69656591356155e-50
"ENSG00000144381",2980.18612816428,2.16992502167364,0.142088935992557,15.2715973732628,1.18240777646848e-52,2.32998826933915e-50
"ENSG00000183826",380.522770034802,-1.31090532490497,0.0859344015533693,-15.2547210570942,1.53148085060754e-52,2.99967279377431e-50
"ENSG00000185480",40.945709754004,2.59012801769403,0.169816736144479,15.2524896927142,1.58473396590735e-52,3.0853916267971e-50
"ENSG00000241343",65.3642938956884,1.93601907813266,0.126951649469865,15.2500505997145,1.6450559493134e-52,3.18377078190332e-50
"ENSG00000140807",551.982399046527,4.24687735679428,0.278525849075076,15.2476955761817,1.70546702618308e-52,3.2811570940424e-50
"ENSG00000042088",143.866337614635,1.25802713867243,0.0825448596120653,15.2405267218911,1.90329788017959e-52,3.64022513389173e-50
"ENSG00000272502",18.9387783326716,3.31426468281523,0.218084210397059,15.197178543009,3.69182862027555e-52,7.01965589237655e-50
"ENSG00000068489",137.995871036485,2.26107430583609,0.148791456197118,15.1962643798622,3.74369774301484e-52,7.07689467537119e-50
"ENSG00000182481",507.119832834116,2.02160828701419,0.133088043542021,15.1900068045999,4.11876923228201e-52,7.74090536522643e-50
"ENSG00000148229",379.875217319187,1.39029620736904,0.0915343792378064,15.1887871960878,4.19611508965994e-52,7.84094747271284e-50
"ENSG00000143228",69.2833530808377,2.71251645615591,0.178711607744302,15.1781772342228,4.93300400580239e-52,9.16523955683765e-50
"ENSG00000163002",62.714336913314,1.62986822634649,0.107603932281555,15.146920672767,7.94006256481047e-52,1.46683633086504e-49
"ENSG00000148842",458.411335427674,-2.0039326711972,0.132441144663374,-15.1307411023259,1.01545365133274e-51,1.86533672426173e-49
"ENSG00000138442",200.201928829464,1.56412136008364,0.103473208395115,15.1161965917883,1.26649393071535e-51,2.31341481254375e-49
"ENSG00000157193",178.598873814971,2.81094374545599,0.186224985476966,15.0943426751061,1.76437419637323e-51,3.20485266038431e-49
